"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 05 02:41:50 UTC 2023","Sat Aug 05 02:41:50 UTC 2023","605","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Aug 05 02:26:43 UTC 2023","Sat Aug 05 02:27:09 UTC 2023","25449","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Aug 05 04:02:14 UTC 2023","Sat Aug 05 04:02:18 UTC 2023","3970","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sat Aug 05 04:30:58 UTC 2023","Sat Aug 05 04:31:02 UTC 2023","4849","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sat Aug 05 02:25:21 UTC 2023","Sat Aug 05 02:25:30 UTC 2023","9614","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Aug 05 04:02:03 UTC 2023","Sat Aug 05 04:02:04 UTC 2023","616","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Aug 05 03:59:25 UTC 2023","Sat Aug 05 03:59:30 UTC 2023","4233","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat Aug 05 04:45:43 UTC 2023","Sat Aug 05 04:45:45 UTC 2023","2065","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Aug 05 02:36:13 UTC 2023","Sat Aug 05 02:36:24 UTC 2023","11333","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Aug 05 03:35:37 UTC 2023","Sat Aug 05 03:36:25 UTC 2023","48210","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sat Aug 05 02:54:46 UTC 2023","Sat Aug 05 02:55:06 UTC 2023","20231","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Aug 05 03:51:49 UTC 2023","Sat Aug 05 03:56:09 UTC 2023","260039","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Aug 05 02:59:45 UTC 2023","Sat Aug 05 02:59:57 UTC 2023","11936","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Aug 05 03:38:59 UTC 2023","Sat Aug 05 03:39:18 UTC 2023","18668","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Aug 05 02:45:12 UTC 2023","Sat Aug 05 02:45:46 UTC 2023","33755","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Aug 05 02:36:09 UTC 2023","Sat Aug 05 02:36:13 UTC 2023","3722","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sat Aug 05 03:39:18 UTC 2023","Sat Aug 05 03:39:27 UTC 2023","9180","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Aug 05 04:02:20 UTC 2023","Sat Aug 05 04:02:22 UTC 2023","1818","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Aug 05 03:13:17 UTC 2023","Sat Aug 05 03:13:17 UTC 2023","541","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sat Aug 05 03:58:56 UTC 2023","Sat Aug 05 03:59:13 UTC 2023","16779","","19. Look Up Investment Account","","","","1. Log in using manager login",""
